Numero1,Numero2,Numero3,Numero4,Numero5,Estrela1,Estrela2,Ano,Premio,Mes,MesNumerico,Dia,Semana,ÉSexta?,SomaNumeros,ÉImparNumeros?,SomaEstrelas,ÉImparEstrelas?
16,29,32,36,41,7,9,2004,15000000,fev,2,13,sx,1,154,0,16,0
7,13,39,47,50,2,5,2004,15000000,fev,2,20,sx,1,156,0,7,1
14,18,19,31,37,4,5,2004,15000000,fev,2,27,sx,1,119,1,9,1
4,7,33,37,39,1,5,2004,18000000,mar,3,05,sx,1,120,0,6,0
15,24,28,44,47,4,5,2004,15000000,mar,3,12,sx,1,158,0,9,1
33,36,37,42,45,4,9,2004,15000000,mar,3,19,sx,1,193,1,13,1
3,4,10,23,43,2,4,2004,17000000,mar,3,26,sx,1,83,1,6,0
4,12,24,27,36,2,9,2004,25000000,abr,4,02,sx,1,103,1,11,1
1,4,10,19,23,2,8,2004,26000000,abr,4,09,sx,1,57,1,10,0
14,15,28,35,40,1,3,2004,15000000,abr,4,16,sx,1,132,0,4,0
6,10,21,45,49,5,3,2004,17000000,abr,4,23,sx,1,131,1,8,0
5,6,16,23,27,6,7,2004,21000000,abr,4,30,sx,1,77,1,13,1
15,16,21,36,38,1,5,2004,25000000,mai,5,07,sx,1,126,0,6,0
1,3,21,32,39,2,6,2004,34000000,mai,5,14,sx,1,96,0,8,0
15,29,37,39,49,4,9,2004,10000000,mai,5,21,sx,1,169,1,13,1
6,11,35,41,44,5,6,2004,10000000,mai,5,28,sx,1,137,1,11,1
9,13,34,41,42,3,7,2004,13000000,jun,6,04,sx,1,139,1,10,0
2,7,8,10,47,1,7,2004,10000000,jun,6,11,sx,1,74,0,8,0
2,23,28,40,43,2,6,2004,12000000,jun,6,18,sx,1,136,0,8,0
3,21,30,34,35,1,2,2004,10000000,jun,6,25,sx,1,123,1,3,1
4,23,24,28,34,1,3,2004,13000000,jul,7,02,sx,1,113,1,4,0
2,5,12,19,44,8,9,2004,14000000,jul,7,09,sx,1,82,0,17,1
24,26,31,38,50,5,8,2004,17000000,jul,7,16,sx,1,169,1,13,1
7,10,27,31,34,8,3,2004,18000000,jul,7,23,sx,1,109,1,11,1
9,10,19,37,50,1,6,2004,21000000,jul,7,30,sx,1,125,1,7,1
5,15,24,35,44,5,6,2004,25000000,ago,8,06,sx,1,123,1,11,1
20,27,41,43,50,5,8,2004,10000000,ago,8,13,sx,1,181,1,13,1
6,9,10,27,35,6,8,2004,13000000,ago,8,20,sx,1,87,1,14,0
1,11,22,28,44,1,9,2004,14000000,ago,8,27,sx,1,106,0,10,0
8,12,14,15,34,6,7,2004,17000000,set,9,03,sx,1,83,1,13,1
5,25,33,36,38,2,5,2004,18000000,set,9,10,sx,1,137,1,7,1
15,18,29,39,41,5,8,2004,22000000,set,9,17,sx,1,142,0,13,1
21,26,27,44,48,1,7,2004,22000000,set,9,24,sx,1,166,0,8,0
12,20,21,45,48,5,6,2004,23000000,out,10,01,sx,1,146,0,11,1
1,10,12,16,48,2,6,2004,24000000,out,10,08,sx,1,87,1,8,0
14,21,22,37,43,5,8,2004,24000000,out,10,15,sx,1,137,1,13,1
1,9,23,25,40,3,9,2004,25000000,out,10,22,sx,1,98,0,12,0
1,8,32,35,38,4,9,2004,10000000,out,10,29,sx,1,114,0,13,1
6,19,25,42,49,1,7,2004,10000000,nov,11,05,sx,1,141,1,8,0
4,11,12,13,32,3,9,2004,25000000,nov,11,12,sx,1,72,0,12,0
1,18,29,34,37,2,6,2004,35000000,nov,11,19,sx,1,119,1,8,0
1,4,24,34,36,6,8,2004,41000000,nov,11,26,sx,1,99,1,14,0
1,11,15,42,49,3,4,2004,10000000,dez,12,03,sx,1,118,0,7,1
1,3,13,16,43,2,7,2004,17000000,dez,12,10,sx,1,76,0,9,1
15,19,22,46,49,2,9,2004,26000000,dez,12,17,sx,1,151,1,11,1
3,4,27,29,37,5,6,2004,10000000,dez,12,24,sx,1,100,0,11,1
7,8,24,25,47,8,9,2004,10000000,dez,12,31,sx,1,111,1,17,1
3,23,27,47,50,2,3,2005,17000000,jan,1,07,sx,1,150,0,5,1
6,11,14,19,29,1,3,2005,25000000,jan,1,14,sx,1,79,1,4,0
10,12,14,24,26,5,8,2005,10000000,jan,1,21,sx,1,86,0,13,1
7,21,26,43,45,5,7,2005,17000000,jan,1,28,sx,1,142,0,12,0
1,8,11,30,40,7,8,2005,25000000,fev,2,04,sx,1,90,0,15,1
11,13,25,32,50,4,7,2005,33000000,fev,2,11,sx,1,131,1,11,1
20,21,26,32,46,8,9,2005,10000000,fev,2,18,sx,1,145,1,17,1
3,27,30,43,44,4,8,2005,10000000,fev,2,25,sx,1,147,1,12,0
12,24,32,37,39,7,9,2005,17000000,mar,3,04,sx,1,144,0,16,0
8,12,23,40,43,1,4,2005,26000000,mar,3,11,sx,1,126,0,5,1
6,23,39,43,48,5,7,2005,35000000,mar,3,18,sx,1,159,1,12,0
4,29,33,37,38,6,9,2005,44000000,mar,3,25,sx,1,141,1,15,1
25,26,41,44,47,3,7,2005,39000000,abr,4,01,sx,1,183,1,10,0
7,11,25,31,50,1,3,2005,62000000,abr,4,08,sx,1,124,0,4,0
6,28,31,38,42,3,9,2005,15000000,abr,4,15,sx,1,145,1,12,0
3,10,13,24,47,5,9,2005,23000000,abr,4,22,sx,1,97,1,14,0
3,9,35,39,42,1,8,2005,15000000,abr,4,29,sx,1,128,0,9,1
7,12,21,26,44,6,8,2005,23000000,mai,5,06,sx,1,110,0,14,0
