Data,DiaSemana,Numero1,Numero2,Numero3,Numero4,Numero5,Estrela1,Estrela2,Dia,Mes,Ano,NumeroSemana,SerFriday,SomaNumeros,SomaEstrelas
2024-01-03,Friday,4,7,19,20,34,2,4,3,1,2024,1,1,84,6
2024-01-16,Tuesday,10,18,21,33,45,8,12,16,1,2024,3,0,127,20
2024-01-19,Friday,27,28,44,48,50,7,12,19,1,2024,3,1,197,19
2024-01-23,Tuesday,14,23,39,48,50,3,12,23,1,2024,4,0,174,15
2024-01-26,Friday,8,19,32,41,42,9,12,26,1,2024,4,1,142,21
2024-01-30,Tuesday,5,10,19,27,30,5,6,30,1,2024,5,0,91,11
2024-02-01,Tuesday,7,15,18,46,49,10,12,1,2,2024,5,0,135,22
2024-02-02,Friday,13,20,23,27,42,5,9,2,2,2024,5,1,125,14
2024-02-04,Tuesday,1,23,31,36,48,5,8,4,2,2024,5,0,139,13
2024-02-07,Tuesday,2,7,34,35,46,6,8,7,2,2024,6,0,124,14
2024-02-08,Friday,5,7,12,33,46,3,12,8,2,2024,6,1,103,15
2024-02-13,Tuesday,13,17,18,20,46,4,9,13,2,2024,7,0,114,13
2024-02-16,Friday,8,13,14,24,26,1,2,16,2,2024,7,1,85,3
2024-02-20,Tuesday,23,31,37,42,48,3,7,20,2,2024,8,0,181,10
2024-02-23,Friday,24,27,28,30,49,1,12,23,2,2024,8,1,158,13
2024-02-27,Tuesday,3,4,9,12,20,5,6,27,2,2024,9,0,48,11
2024-03-05,Friday,6,9,10,30,49,3,4,5,3,2024,10,1,104,7
2024-03-15,Friday,1,4,31,34,40,4,5,15,3,2024,11,1,110,9
2024-03-19,Tuesday,7,16,18,20,32,1,3,19,3,2024,12,0,93,4
2024-03-22,Friday,8,11,23,32,44,9,10,22,3,2024,12,1,118,19
2024-03-26,Tuesday,2,13,14,26,29,5,6,26,3,2024,13,0,84,11
2024-03-29,Friday,16,17,35,36,49,1,10,29,3,2024,13,1,153,11
2024-04-06,Tuesday,6,7,9,14,43,3,4,6,4,2024,14,0,79,7
2024-04-16,Tuesday,22,29,31,39,46,3,7,16,4,2024,16,0,167,10
2024-04-19,Friday,10,20,40,44,46,1,3,19,4,2024,16,1,160,4
2024-04-23,Tuesday,6,9,11,32,49,2,10,23,4,2024,17,0,107,12
2024-04-26,Friday,2,20,39,40,47,4,8,26,4,2024,17,1,148,12
2024-04-30,Tuesday,13,22,24,33,47,1,5,30,4,2024,18,0,139,6
2024-05-01,Friday,4,7,18,39,50,3,8,1,5,2024,18,1,118,11
2024-05-03,Tuesday,2,15,17,23,36,3,8,3,5,2024,18,0,93,11
2024-05-04,Friday,13,18,26,35,37,8,11,4,5,2024,18,1,129,19
2024-05-07,Friday,11,13,29,31,47,1,11,7,5,2024,19,1,131,12
2024-05-14,Tuesday,2,8,17,28,35,7,9,14,5,2024,20,0,90,16
2024-05-17,Friday,18,31,32,41,46,1,10,17,5,2024,20,1,168,11
2024-05-21,Tuesday,11,13,14,34,48,7,9,21,5,2024,21,0,120,16
2024-05-24,Friday,9,12,18,22,50,1,3,24,5,2024,21,1,111,4
2024-05-28,Tuesday,16,18,35,36,41,6,7,28,5,2024,22,0,146,13
2024-05-31,Friday,4,7,16,33,34,7,8,31,5,2024,22,1,94,15
2024-06-02,Tuesday,2,7,21,28,45,5,11,2,6,2024,22,0,103,16
2024-06-08,Tuesday,1,18,27,41,50,2,12,8,6,2024,23,0,137,14
2024-06-14,Friday,2,13,16,24,32,1,7,14,6,2024,24,1,87,8
2024-06-18,Tuesday,3,11,33,34,36,1,12,18,6,2024,25,0,117,13
2024-06-21,Friday,3,4,7,11,17,3,12,21,6,2024,25,1,42,15
2024-06-25,Tuesday,14,16,37,45,49,5,7,25,6,2024,26,0,161,12
2024-06-28,Friday,10,16,18,22,35,1,10,28,6,2024,26,1,101,11
2024-07-05,Tuesday,35,36,41,42,45,6,11,5,7,2024,27,0,199,17
2024-07-06,Friday,15,16,26,30,37,5,8,6,7,2024,27,1,124,13
2024-07-16,Tuesday,2,32,35,36,39,7,8,16,7,2024,29,0,144,15
2024-07-19,Friday,15,22,35,44,48,6,7,19,7,2024,29,1,164,13
2024-07-23,Tuesday,4,8,10,16,34,4,8,23,7,2024,30,0,72,12
2024-07-26,Friday,4,19,23,35,37,4,8,26,7,2024,30,1,118,12
2024-07-30,Tuesday,9,25,28,37,38,2,8,30,7,2024,31,0,137,10
2024-08-03,Friday,8,11,12,16,44,4,7,3,8,2024,31,1,91,11
2024-09-01,Tuesday,2,9,12,39,40,1,3,1,9,2024,35,0,102,4
2024-09-02,Friday,23,24,35,37,45,9,12,2,9,2024,36,1,164,21
2024-09-04,Tuesday,19,23,26,27,46,2,10,4,9,2024,36,0,141,12
2024-09-07,Tuesday,6,15,19,28,39,7,11,7,9,2024,36,0,107,18
2024-10-05,Friday,13,28,29,44,48,4,12,5,10,2024,40,1,162,16
2024-11-06,Tuesday,7,15,34,45,48,7,9,6,11,2024,45,0,149,16
2024-12-01,Friday,16,17,18,45,49,9,12,1,12,2024,48,1,145,21
2024-12-03,Tuesday,13,19,30,38,46,4,12,3,12,2024,49,0,146,16
2024-12-04,Friday,2,3,12,16,45,2,11,4,12,2024,49,1,78,13
2024-12-07,Friday,12,18,24,25,39,8,10,7,12,2024,49,1,118,18
