Data,DiaSemana,Numero1,Numero2,Numero3,Numero4,Numero5,Estrela1,Estrela2
02-01-2024,Tuesday,7,15,18,46,49,10,12
05-01-2024,Friday,4,7,18,39,50,3,8
09-01-2024,Tuesday,2,9,12,39,40,1,3
12-01-2024,Friday,16,17,18,45,49,9,12
16-01-2024,Tuesday,10,18,21,33,45,8,12
19-01-2024,Friday,27,28,44,48,50,7,12
23-01-2024,Tuesday,14,23,39,48,50,3,12
26-01-2024,Friday,8,19,32,41,42,9,12
30-01-2024,Tuesday,5,10,19,27,30,5,6
02-02-2024,Friday,13,20,23,27,42,5,9
06-02-2024,Tuesday,2,7,21,28,45,5,11
09-02-2024,Friday,23,24,35,37,45,9,12
13-02-2024,Tuesday,13,17,18,20,46,4,9
16-02-2024,Friday,8,13,14,24,26,1,2
20-02-2024,Tuesday,23,31,37,42,48,3,7
23-02-2024,Friday,24,27,28,30,49,1,12
27-02-2024,Tuesday,3,4,9,12,20,5,6
01-03-2024,Friday,4,7,19,20,34,2,4
05-03-2024,Tuesday,2,15,17,23,36,3,8
08-03-2024,Friday,8,11,12,16,44,4,7
12-03-2024,Tuesday,13,19,30,38,46,4,12
15-03-2024,Friday,1,4,31,34,40,4,5
19-03-2024,Tuesday,7,16,18,20,32,1,3
22-03-2024,Friday,8,11,23,32,44,9,10
26-03-2024,Tuesday,2,13,14,26,29,5,6
29-03-2024,Friday,16,17,35,36,49,1,10
02-04-2024,Tuesday,1,23,31,36,48,5,8
05-04-2024,Friday,13,18,26,35,37,8,11
09-04-2024,Tuesday,19,23,26,27,46,2,10
12-04-2024,Friday,2,3,12,16,45,2,11
16-04-2024,Tuesday,22,29,31,39,46,3,7
19-04-2024,Friday,10,20,40,44,46,1,3
23-04-2024,Tuesday,6,9,11,32,49,2,10
26-04-2024,Friday,2,20,39,40,47,4,8
30-04-2024,Tuesday,13,22,24,33,47,1,5
03-05-2024,Friday,6,9,10,30,49,3,4
07-05-2024,Tuesday,35,36,41,42,45,6,11
10-05-2024,Friday,13,28,29,44,48,4,12
14-05-2024,Tuesday,2,8,17,28,35,7,9
17-05-2024,Friday,18,31,32,41,46,1,10
21-05-2024,Tuesday,11,13,14,34,48,7,9
24-05-2024,Friday,9,12,18,22,50,1,3
28-05-2024,Tuesday,16,18,35,36,41,6,7
31-05-2024,Friday,4,7,16,33,34,7,8
04-06-2024,Tuesday,6,7,9,14,43,3,4
07-06-2024,Friday,15,16,26,30,37,5,8
11-06-2024,Tuesday,7,15,34,45,48,7,9
14-06-2024,Friday,2,13,16,24,32,1,7
18-06-2024,Tuesday,3,11,33,34,36,1,12
21-06-2024,Friday,3,4,7,11,17,3,12
25-06-2024,Tuesday,14,16,37,45,49,5,7
28-06-2024,Friday,10,16,18,22,35,1,10
02-07-2024,Tuesday,2,7,34,35,46,6,8
05-07-2024,Friday,11,13,29,31,47,1,11
09-07-2024,Tuesday,6,15,19,28,39,7,11
12-07-2024,Friday,12,18,24,25,39,8,10
16-07-2024,Tuesday,2,32,35,36,39,7,8
19-07-2024,Friday,15,22,35,44,48,6,7
23-07-2024,Tuesday,4,8,10,16,34,4,8
26-07-2024,Friday,4,19,23,35,37,4,8
30-07-2024,Tuesday,9,25,28,37,38,2,8
02-08-2024,Friday,5,7,12,33,46,3,12
06-08-2024,Tuesday,1,18,27,41,50,2,12
