DiaSemana,PremioFeio,Numero1,Numero2,Numero3,Numero4,Numero5,Estrela1,Estrela2,Ano
"sx, 31 dez",10 M. €,07,08,24,25,47,08,09,2004
"sx, 24 dez",10 M. €,03,04,27,29,37,05,06,2004
"sx, 17 dez",26 M. €,15,19,22,46,49,02,09,2004
"sx, 10 dez",17 M. €,01,03,13,16,43,02,07,2004
"sx, 03 dez",10 M. €,01,11,15,42,49,03,04,2004
"sx, 26 nov",41 M. €,01,04,24,34,36,06,08,2004
"sx, 19 nov",35 M. €,01,18,29,34,37,02,06,2004
"sx, 12 nov",25 M. €,04,11,12,13,32,03,09,2004
"sx, 05 nov",10 M. €,06,19,25,42,49,01,07,2004
"sx, 29 out",10 M. €,01,08,32,35,38,04,09,2004
"sx, 22 out",25 M. €,01,09,23,25,40,03,09,2004
"sx, 15 out",24 M. €,14,21,22,37,43,05,08,2004
"sx, 08 out",24 M. €,01,10,12,16,48,02,06,2004
"sx, 01 out",23 M. €,12,20,21,45,48,05,06,2004
"sx, 24 set",22 M. €,21,26,27,44,48,01,07,2004
"sx, 17 set",22 M. €,15,18,29,39,41,05,08,2004
"sx, 10 set",18 M. €,05,25,33,36,38,02,05,2004
"sx, 03 set",17 M. €,08,12,14,15,34,06,07,2004
"sx, 27 ago",14 M. €,01,11,22,28,44,01,09,2004
"sx, 20 ago",13 M. €,06,09,10,27,35,06,08,2004
"sx, 13 ago",10 M. €,20,27,41,43,50,05,08,2004
"sx, 06 ago",25 M. €,05,15,24,35,44,05,06,2004
"sx, 30 jul",21 M. €,09,10,19,37,50,01,06,2004
"sx, 23 jul",18 M. €,07,10,27,31,34,08,03,2004
"sx, 16 jul",17 M. €,24,26,31,38,50,05,08,2004
"sx, 09 jul",14 M. €,02,05,12,19,44,08,09,2004
"sx, 02 jul",13 M. €,04,23,24,28,34,01,03,2004
"sx, 25 jun",10 M. €,03,21,30,34,35,01,02,2004
"sx, 18 jun",12 M. €,02,23,28,40,43,02,06,2004
"sx, 11 jun",10 M. €,02,07,08,10,47,01,07,2004
"sx, 04 jun",13 M. €,09,13,34,41,42,03,07,2004
"sx, 28 mai",10 M. €,06,11,35,41,44,05,06,2004
"sx, 21 mai",10 M. €,15,29,37,39,49,04,09,2004
"sx, 14 mai",34 M. €,01,03,21,32,39,02,06,2004
"sx, 07 mai",25 M. €,15,16,21,36,38,01,05,2004
"sx, 30 abr",21 M. €,05,06,16,23,27,06,07,2004
"sx, 23 abr",17 M. €,06,10,21,45,49,05,03,2004
"sx, 16 abr",15 M. €,14,15,28,35,40,01,03,2004
"sx, 09 abr",26 M. €,01,04,10,19,23,02,08,2004
"sx, 02 abr",25 M. €,04,12,24,27,36,02,09,2004
"sx, 26 mar",17 M. €,03,04,10,23,43,02,04,2004
"sx, 19 mar",15 M. €,33,36,37,42,45,04,09,2004
"sx, 12 mar",15 M. €,15,24,28,44,47,04,05,2004
"sx, 05 mar",18 M. €,04,07,33,37,39,01,05,2004
"sx, 27 fev",15 M. €,14,18,19,31,37,04,05,2004
"sx, 20 fev",15 M. €,07,13,39,47,50,02,05,2004
"sx, 13 fev",15 M. €,16,29,32,36,41,07,09,2004
"sx, 30 dez",75 M. €,08,16,19,43,45,01,04,2005
"sx, 23 dez",66 M. €,15,31,36,37,42,01,07,2005
"sx, 16 dez",55 M. €,02,03,15,18,32,06,07,2005
"sx, 09 dez",44 M. €,11,18,35,38,42,01,05,2005
"sx, 02 dez",35 M. €,01,09,20,23,30,04,07,2005
"sx, 25 nov",24 M. €,01,06,27,39,47,01,06,2005
"sx, 18 nov",15 M. €,17,18,25,34,48,02,03,2005
"sx, 11 nov",44 M. €,15,16,36,41,42,03,05,2005
"sx, 04 nov",35 M. €,26,36,37,38,42,02,06,2005
"sx, 28 out",24 M. €,14,36,44,47,50,03,05,2005
"sx, 21 out",15 M. €,01,14,19,29,33,01,08,2005
"sx, 14 out",15 M. €,10,11,19,20,23,01,06,2005
"sx, 07 out",15 M. €,02,13,21,26,44,03,09,2005
"sx, 30 set",24 M. €,06,11,47,48,50,01,06,2005
"sx, 23 set",15 M. €,01,26,31,34,47,04,09,2005
"sx, 16 set",76 M. €,12,13,19,21,38,03,09,2005
"sx, 09 set",66 M. €,08,12,19,31,50,06,07,2005
"sx, 02 set",57 M. €,03,04,14,43,50,03,06,2005
"sx, 26 ago",45 M. €,09,29,35,40,41,01,06,2005
"sx, 19 ago",35 M. €,11,24,29,31,41,01,03,2005
"sx, 12 ago",24 M. €,15,23,30,37,40,07,09,2005
"sx, 05 ago",15 M. €,02,11,21,22,30,04,06,2005
"sx, 29 jul",113 M. €,03,19,26,49,50,04,05,2005
"sx, 22 jul",96 M. €,03,14,41,48,49,01,04,2005
"sx, 15 jul",81 M. €,01,11,12,23,42,03,06,2005
"sx, 08 jul",69 M. €,35,36,42,46,49,02,08,2005
"sx, 01 jul",60 M. €,04,05,23,25,28,03,04,2005
"sx, 24 jun",52 M. €,06,08,14,15,45,07,08,2005
"sx, 17 jun",42 M. €,04,08,10,18,21,01,07,2005
"sx, 10 jun",33 M. €,06,07,32,37,47,01,07,2005
"sx, 03 jun",23 M. €,03,08,11,17,50,01,05,2005
"sx, 27 mai",15 M. €,02,24,31,48,50,04,09,2005
"sx, 20 mai",42 M. €,06,07,13,28,47,05,08,2005
"sx, 13 mai",32 M. €,12,17,31,32,40,02,09,2005
"sx, 06 mai",23 M. €,07,12,21,26,44,06,08,2005
"sx, 29 abr",15 M. €,03,09,35,39,42,01,08,2005
"sx, 22 abr",23 M. €,03,10,13,24,47,05,09,2005
"sx, 15 abr",15 M. €,06,28,31,38,42,03,09,2005
"sx, 08 abr",62 M. €,07,11,25,31,50,01,03,2005
"sx, 01 abr",39 M. €,25,26,41,44,47,03,07,2005
"sx, 25 mar",44 M. €,04,29,33,37,38,06,09,2005
"sx, 18 mar",35 M. €,06,23,39,43,48,05,07,2005
"sx, 11 mar",26 M. €,08,12,23,40,43,01,04,2005
"sx, 04 mar",17 M. €,12,24,32,37,39,07,09,2005
"sx, 25 fev",10 M. €,03,27,30,43,44,04,08,2005
"sx, 18 fev",10 M. €,20,21,26,32,46,08,09,2005
"sx, 11 fev",33 M. €,11,13,25,32,50,04,07,2005
"sx, 04 fev",25 M. €,01,08,11,30,40,07,08,2005
"sx, 28 jan",17 M. €,07,21,26,43,45,05,07,2005
"sx, 21 jan",10 M. €,10,12,14,24,26,05,08,2005
"sx, 14 jan",25 M. €,06,11,14,19,29,01,03,2005
"sx, 07 jan",17 M. €,03,23,27,47,50,02,03,2005
"sx, 29 dez",67 M. €,06,09,13,14,35,03,04,2006
"sx, 22 dez",52 M. €,09,11,20,38,43,02,03,2006
"sx, 15 dez",39 M. €,09,23,35,37,42,03,07,2006
"sx, 08 dez",27 M. €,16,17,18,36,47,01,02,2006
"sx, 01 dez",15 M. €,04,08,16,37,41,02,05,2006
"sx, 24 nov",15 M. €,05,08,17,25,40,01,05,2006
"sx, 17 nov",180 M. €,12,22,32,33,36,02,06,2006
"sx, 10 nov",152 M. €,14,21,27,30,36,02,03,2006
"sx, 03 nov",131 M. €,11,13,24,44,49,03,09,2006
"sx, 27 out",113 M. €,03,04,08,44,50,07,08,2006
"sx, 20 out",95 M. €,10,19,34,45,47,03,06,2006
"sx, 13 out",80 M. €,02,25,32,38,41,03,05,2006
"sx, 06 out",68 M. €,05,11,22,35,38,07,08,2006
"sx, 29 set",58 M. €,01,03,06,18,24,05,08,2006
"sx, 22 set",47 M. €,10,29,30,45,49,03,08,2006
"sx, 15 set",35 M. €,06,10,16,26,49,07,09,2006
"sx, 08 set",25 M. €,01,10,12,32,33,01,08,2006
"sx, 01 set",15 M. €,03,07,25,45,50,06,09,2006
"sx, 25 ago",56 M. €,10,28,40,47,48,06,08,2006
"sx, 18 ago",45 M. €,12,37,39,40,50,01,02,2006
"sx, 11 ago",35 M. €,27,28,31,46,47,02,05,2006
"sx, 04 ago",24 M. €,01,14,15,26,32,03,07,2006
"sx, 28 jul",15 M. €,03,08,12,29,43,06,07,2006
"sx, 21 jul",25 M. €,02,04,09,38,50,06,08,2006
"sx, 14 jul",15 M. €,01,07,17,31,36,02,08,2006
"sx, 07 jul",67 M. €,07,09,18,35,43,05,07,2006
"sx, 30 jun",58 M. €,06,15,16,40,43,01,02,2006
"sx, 23 jun",46 M. €,09,21,30,43,44,01,09,2006
"sx, 16 jun",36 M. €,01,16,26,30,36,03,09,2006
"sx, 09 jun",25 M. €,03,12,15,34,39,04,06,2006
"sx, 02 jun",15 M. €,07,08,27,41,48,01,06,2006
"sx, 26 mai",15 M. €,02,12,21,41,49,03,07,2006
"sx, 19 mai",15 M. €,03,05,25,34,49,05,08,2006
"sx, 12 mai",25 M. €,05,20,23,34,50,01,05,2006
"sx, 05 mai",15 M. €,04,08,14,16,50,03,09,2006
"sx, 28 abr",25 M. €,05,10,17,22,33,05,07,2006
"sx, 21 abr",15 M. €,01,20,22,37,46,01,09,2006
"sx, 14 abr",26 M. €,16,26,34,35,49,02,06,2006
"sx, 07 abr",15 M. €,12,13,29,44,50,04,05,2006
"sx, 31 mar",75 M. €,03,20,31,45,50,06,07,2006
"sx, 24 mar",64 M. €,17,28,33,35,47,04,09,2006
"sx, 17 mar",51 M. €,05,32,44,45,50,01,07,2006
"sx, 10 mar",38 M. €,01,21,33,45,49,04,08,2006
"sx, 03 mar",26 M. €,03,05,08,10,44,03,05,2006
"sx, 24 fev",15 M. €,01,11,18,19,47,03,07,2006
"sx, 17 fev",27 M. €,04,23,24,26,38,02,04,2006
"sx, 10 fev",15 M. €,05,06,38,48,50,06,07,2006
"sx, 03 fev",183 M. €,09,21,30,39,50,01,03,2006
"sx, 27 jan",146 M. €,09,15,21,40,49,01,04,2006
"sx, 20 jan",125 M. €,12,15,33,44,50,02,06,2006
"sx, 13 jan",103 M. €,08,12,19,33,34,01,06,2006
"sx, 06 jan",88 M. €,02,06,09,14,26,04,05,2006
"sx, 28 dez",15 M. €,20,21,22,31,45,07,09,2007
"sx, 21 dez",27 M. €,07,09,28,37,44,06,07,2007
"sx, 14 dez",15 M. €,08,25,30,36,44,03,04,2007
"sx, 07 dez",27 M. €,02,04,32,43,48,01,07,2007
"sx, 30 nov",15 M. €,12,19,20,30,38,07,09,2007
"sx, 23 nov",27 M. €,02,10,22,29,48,03,09,2007
"sx, 16 nov",15 M. €,09,18,23,33,37,01,08,2007
"sx, 09 nov",15 M. €,05,14,22,25,36,05,06,2007
"sx, 02 nov",40 M. €,03,16,18,19,40,01,02,2007
"sx, 26 out",27 M. €,07,20,38,40,43,01,08,2007
"sx, 19 out",15 M. €,07,18,34,35,40,07,08,2007
"sx, 12 out",15 M. €,21,32,36,46,47,03,04,2007
"sx, 05 out",15 M. €,11,20,27,35,44,02,05,2007
"sx, 28 set",130 M. €,22,30,34,35,44,04,05,2007
"sx, 21 set",27 M. €,01,17,32,35,37,01,08,2007
"sx, 14 set",15 M. €,05,09,11,29,33,07,09,2007
"sx, 07 set",15 M. €,02,03,33,34,42,03,05,2007
"sx, 31 ago",39 M. €,06,18,22,23,37,05,06,2007
"sx, 24 ago",26 M. €,01,03,16,42,48,02,03,2007
"sx, 17 ago",15 M. €,02,03,13,38,42,07,08,2007
"sx, 10 ago",52 M. €,23,40,42,43,49,02,06,2007
"sx, 03 ago",38 M. €,10,30,33,37,41,01,08,2007
"sx, 27 jul",26 M. €,01,04,21,29,41,07,08,2007
"sx, 20 jul",15 M. €,10,21,25,26,50,04,09,2007
"sx, 13 jul",54 M. €,09,13,15,31,48,03,06,2007
"sx, 06 jul",39 M. €,04,05,19,39,41,08,09,2007
"sx, 29 jun",26 M. €,08,12,28,33,45,01,03,2007
"sx, 22 jun",15 M. €,11,16,17,22,34,05,06,2007
"sx, 15 jun",27 M. €,05,07,14,21,40,03,08,2007
"sx, 08 jun",15 M. €,01,15,17,25,45,02,08,2007
"sx, 01 jun",15 M. €,06,22,37,41,42,06,09,2007
"sx, 25 mai",15 M. €,25,26,29,49,50,07,08,2007
"sx, 18 mai",15 M. €,26,34,37,39,49,02,06,2007
"sx, 11 mai",52 M. €,07,12,26,29,49,02,06,2007
"sx, 04 mai",39 M. €,06,17,35,41,45,01,05,2007
"sx, 27 abr",27 M. €,07,18,27,36,44,01,02,2007
"sx, 20 abr",15 M. €,23,26,32,41,45,03,07,2007
"sx, 13 abr",15 M. €,07,20,25,38,41,03,07,2007
"sx, 06 abr",27 M. €,15,23,29,41,48,03,06,2007
"sx, 30 mar",15 M. €,09,17,19,41,46,01,08,2007
"sx, 23 mar",41 M. €,05,13,17,40,43,01,03,2007
"sx, 16 mar",27 M. €,04,14,31,45,49,04,09,2007
"sx, 09 mar",15 M. €,02,03,25,43,48,06,09,2007
